,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
1096,0.3058252427,0.0004045307443,0.0004045307443,0.0004045307443,0.0004045307443,0.0004045307443,0.0004045307443,0.0004045307443,0.6901294498
1097,0.4163479924,0.0004780114723,0.0004780114723,0.002868068834,0.0004780114723,0.0004780114723,0.002868068834,0.0004780114723,0.5740917782
1098,0.4235181644,0.0004780114723,0.0004780114723,0.002868068834,0.002868068834,0.0004780114723,0.0004780114723,0.0004780114723,0.5669216061
1099,0.0005020080321,0.04819277108,0.003012048193,0.003012048193,0.08584337349,0.0005020080321,0.005522088353,0.008032128514,0.0005020080321
1100,0.005522088353,0.0005020080321,0.0005020080321,0.0005020080321,0.08835341365,0.0005020080321,0.003012048193,0.09588353414,0.0005020080321
1101,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.5054585153
1102,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.0005458515284,0.5327510917
1103,0.0005892751915,0.0005892751915,0.0005892751915,0.0005892751915,0.0005892751915,0.0005892751915,0.0005892751915,0.0005892751915,0.5368296995
1104,0.0005892751915,0.0005892751915,0.0005892751915,0.0005892751915,0.0005892751915,0.0005892751915,0.009428403064,0.0005892751915,0.5633470831
1105,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.2385204082,0.000425170068,0.7551020408
1106,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.006802721088,0.2130102041,0.004676870748,0.7699829932
1107,0.0005611672278,0.0005611672278,0.0005611672278,0.003367003367,0.0005611672278,0.0005611672278,0.003367003367,0.0005611672278,0.5364758698
1108,0.006172839506,0.0005611672278,0.0005611672278,0.0005611672278,0.0005611672278,0.0005611672278,0.0005611672278,0.0005611672278,0.5392817059
1109,0.000521648409,0.000521648409,0.000521648409,0.000521648409,0.000521648409,0.000521648409,0.000521648409,0.000521648409,0.5195618153
1110,0.003129890454,0.000521648409,0.003129890454,0.000521648409,0.003129890454,0.000521648409,0.000521648409,0.000521648409,0.5039123631
1111,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.5114387392
1112,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.0005083884087,0.5216065074
1113,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.4928639391
1114,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.000475737393,0.4928639391
1115,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.2257653061,0.000425170068,0.7699829932
1116,0.000425170068,0.000425170068,0.006802721088,0.002551020408,0.002551020408,0.000425170068,0.2385204082,0.000425170068,0.7465986395
1117,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.2172619048,0.000425170068,0.7784863946
1118,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.000425170068,0.2385204082,0.002551020408,0.7551020408
1119,0.0005773672055,0.06408775982,0.01501154734,0.1189376443,0.0005773672055,0.0005773672055,0.1333718245,0.05542725173,0.6096997691
1120,0.0005773672055,0.08718244804,0.003464203233,0.1333718245,0.01789838337,0.0005773672055,0.04676674365,0.03521939954,0.6732101617
1121,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.00290275762,0.0004837929366,0.0004837929366,0.0004837929366,0.8567972908
1122,0.00290275762,0.0004837929366,0.0004837929366,0.01257861635,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.8519593614
1123,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.8326076439
1124,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.0004837929366,0.8567972908
1125,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.9942166141
1126,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.9942166141
1127,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.00578338591,0.0005257623554,0.003154574132,0.0005257623554,0.9863301788
1128,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.0005257623554,0.9942166141
1129,0.0005707762557,0.003424657534,0.0005707762557,0.0005707762557,0.003424657534,0.0005707762557,0.0005707762557,0.0005707762557,0.8453196347
1130,0.0005707762557,0.0005707762557,0.0005707762557,0.003424657534,0.0005707762557,0.0005707762557,0.0005707762557,0.0005707762557,0.8424657534
1131,0.0004260758415,0.0004260758415,0.0004260758415,0.0004260758415,0.0004260758415,0.6949296975,0.0004260758415,0.0004260758415,0.0004260758415
1132,0.0004260758415,0.0004260758415,0.0004260758415,0.0004260758415,0.0004260758415,0.6949296975,0.0004260758415,0.0004260758415,0.0004260758415
1133,0.0005595970901,0.0005595970901,0.003357582541,0.0005595970901,0.0005595970901,0.0005595970901,0.0005595970901,0.003357582541,0.5461667599
1134,0.0005595970901,0.0005595970901,0.0005595970901,0.0005595970901,0.0005595970901,0.0005595970901,0.0005595970901,0.0005595970901,0.5377728036
1135,0.0005740528129,0.02353616533,0.0005740528129,0.0005740528129,0.03788748565,0.03214695752,0.07233065442,0.0005740528129,0.1354764638
1136,0.0005740528129,0.0005740528129,0.0005740528129,0.0005740528129,0.02640642939,0.02640642939,0.07807118255,0.006314580941,0.1125143513
1137,0.000384319754,0.002305918524,0.000384319754,0.000384319754,0.000384319754,0.000384319754,0.004227517294,0.000384319754,0.000384319754
1138,0.000384319754,0.000384319754,0.000384319754,0.000384319754,0.000384319754,0.002305918524,0.002305918524,0.000384319754,0.004227517294
1139,0.000756429652,0.2012102874,0.000756429652,0.008320726172,0.000756429652,0.03101361573,0.07639939486,0.000756429652,0.008320726172
1140,0.000756429652,0.1633888048,0.000756429652,0.03479576399,0.000756429652,0.000756429652,0.06883509834,0.000756429652,0.03857791225
1141,0.001278772379,0.001278772379,0.001278772379,0.001278772379,0.3849104859,0.02685421995,0.001278772379,0.001278772379,0.001278772379
1142,0.001278772379,0.001278772379,0.007672634271,0.007672634271,0.3849104859,0.001278772379,0.001278772379,0.001278772379,0.001278772379
1143,0.001278772379,0.001278772379,0.001278772379,0.001278772379,0.3273657289,0.001278772379,0.02685421995,0.001278772379,0.001278772379
1144,0.001278772379,0.001278772379,0.001278772379,0.001278772379,0.3273657289,0.001278772379,0.02685421995,0.001278772379,0.001278772379
1145,0.001278772379,0.001278772379,0.001278772379,0.001278772379,0.3273657289,0.001278772379,0.007672634271,0.001278772379,0.001278772379
